"game_id","nickname","score","rating"
154,"BetterBot",NA,"1656"
154,"GPeters",NA,"1502"
155,"BetterBot",NA,"1755"
155,"jawedshamims",NA,"1830"
156,"BetterBot",322,"1819"
156,"NatthanonL",444,"1937"
157,"BetterBot",352,"1651"
157,"condorave",481,"1733"
158,"BetterBot",347,"1810"
158,"Eloquent",432,"1775"
159,"BetterBot",252,"1895"
159,"Eloquent",463,"1775"
160,"BetterBot",485,"1854"
160,"BreyMonca",245,"1322?"
161,"BetterBot",370,"1760"
161,"Kabashibi",367,"1597"
162,"BetterBot",312,"1694"
162,"Churrrro",340,"1764"
163,"BetterBot",336,"1868"
163,"marvin",287,"1726"
164,"BetterBot",351,"1843"
164,"franvi",371,"1710"
165,"BetterBot",388,"1640"
165,"frs",335,"1779"
166,"Amadeus",NA,"1665"
166,"BetterBot",NA,"1744"
167,"BetterBot",522,"1848"
167,"Torquayfan2303",440,"1870"
168,"BetterBot",NA,"1756"
168,"browndav",NA,"1609"
169,"BetterBot",370,"1642"
169,"Spidervillain",417,"1797"
170,"BetterBot",NA,"1603"
170,"thellamalord",NA,"1536?"
171,"BetterBot",NA,"1857"
171,"Eloquent",NA,"1775"
172,"BetterBot",307,"1822"
172,"Crookshanks",341,"1759"
173,"BetterBot",411,"1750"
173,"jawedshamims",417,"1833"
174,"BetterBot",505,"1653"
174,"deathstar",316,"1534"
175,"bensmum",369,"1717"
175,"BetterBot",340,"1787"
176,"BetterBot",351,"1550"
176,"mizhubbard",363,"1551"
177,"BetterBot",NA,"1687"
177,"Churrrro",NA,"1715"
178,"BetterBot",NA,"1714"
178,"Churrrro",NA,"1753"
179,"BetterBot",NA,"1824"
179,"PrimordialOne",NA,"1708"
180,"BetterBot",345,"1838"
180,"Super",371,"1902"
181,"BetterBot",326,"1835"
181,"Hailey",434,"1923"
182,"BetterBot",398,"1816"
182,"PENapasa",223,"1677"
183,"BetterBot",424,"1848"
183,"Crookshanks",485,"1768"
184,"BetterBot",476,"1919"
184,"davidavid",375,"1798"
185,"BetterBot",323,"1833"
185,"Super",456,"1813"
186,"BetterBot",446,"1703"
186,"rcg",324,"1713"
187,"BetterBot",439,"1857"
187,"Eloquent",426,"1775"
188,"BetterBot",NA,"1658"
188,"Churrrro",NA,"1652"
189,"Anita",314,"1571"
189,"BetterBot",378,"1632"
190,"BetterBot",NA,"1911"
190,"Eloquent",NA,"1775"
191,"BetterBot",441,"1835"
191,"domer8t8",247,"1628"
192,"BetterBot",423,"1861"
192,"englishcarnivalsbh",257,"1553"
193,"BetterBot",322,"1798"
193,"IlmanHaziq",463,"1791"
194,"BetterBot",391,"1903"
194,"Lola",361,"1719"
195,"BetterBot",514,"1810"
195,"domer8t8",301,"1625"
196,"BetterBot",402,"1811"
196,"jawedshamims",422,"1852"
197,"BetterBot",NA,"1878"
197,"marvin",NA,"1764"
198,"BetterBot",427,"1709"
198,"rcg",379,"1713"
199,"BetterBot",NA,"1651"
199,"cccc",NA,"1521"
200,"BetterBot",NA,"1784"
200,"Churrrro",NA,"1668"
201,"BetterBot",NA,"1694"
201,"rcg",NA,"1701"
202,"BetterBot",322,"1622"
202,"EMC",399,"1523"
203,"BetterBot",421,"1685"
203,"rcg",481,"1701"
204,"BetterBot",433,"1828"
204,"JoelTeh",253,"1543"
205,"BetterBot",NA,"1862"
205,"Vitex",NA,"1862"
206,"AWFUL",464,"1992"
206,"BetterBot",409,"1882"
207,"10Dots",380,"1620?"
207,"BetterBot",301,"1863"
208,"BetterBot",407,"1618"
208,"bobcubed",437,"1301?"
209,"BetterBot",349,"1855"
209,"Mohd.Irfan",436,"1609"
210,"BetterBot",340,"1835"
210,"GM1109",350,"1748"
211,"BetterBot",541,"1711"
211,"vtr14AA",215,"1631"
212,"BetterBot",NA,"1714"
212,"Churrrro",NA,"1753"
213,"BetterBot",NA,"1833"
213,"gerald0506",NA,"1865"
214,"BetterBot",404,"1881"
214,"Pramit_06",354,"1783"
215,"BetterBot",320,"1866"
215,"Nafay",375,"1616"
216,"BetterBot",295,"1714"
216,"rcg",412,"1684"
217,"BetterBot",303,"1576"
217,"gopostal24",210,"1547"
218,"BetterBot",478,"1830"
218,"heyitsOlive",343,"1602"
219,"BetterBot",304,"1623"
219,"EMC",307,"1564"
220,"BetterBot",NA,"1857"
220,"Lola",NA,"1793"
221,"BetterBot",NA,"1672"
221,"deathstar",NA,"1675"
222,"BetterBot",308,"1613"
222,"deathstar",402,"1585"
223,"Ajkzoo76",NA,"1326?"
223,"BetterBot",NA,"1625"
224,"BetterBot",372,"1584"
224,"LevLavLuv",399,"1681"
225,"BetterBot",462,"1825"
225,"wawayaya",340,"1658"
226,"BetterBot",NA,"1794"
226,"Meith",NA,"1955"
227,"BetterBot",NA,"1743"
227,"Kabashibi",NA,"1714"
228,"BetterBot",420,"1645"
228,"cccc",322,"1492"
229,"BetterBot",433,"1831"
229,"marvin",413,"1785"
230,"BetterBot",461,"1721"
230,"EMC",232,"1447"
231,"BetterBot",377,"1810"
231,"franvi",478,"1639"
232,"BetterBot",389,"1852"
232,"marvin",388,"1790"
233,"BetterBot",NA,"1800"
233,"Lola",NA,"1775"
234,"BetterBot",364,"1623"
234,"wuffy",280,"1430"
235,"BetterBot",312,"1621"
235,"freebritney",452,"1729"
236,"BetterBot",NA,"1673"
236,"rcg",NA,"1713"
237,"BetterBot",471,"1917"
237,"Emeryz",241,"1700"
238,"BetterBot",NA,"1720"
238,"Churrrro",NA,"1683"
239,"BetterBot",367,"1894"
239,"Shahjahan",402,"1696"
240,"BetterBot",NA,"1820"
240,"Eloquent",NA,"1775"
241,"BetterBot",NA,"1839"
241,"Eloquent",NA,"1775"
242,"BetterBot",496,"1806"
242,"Pasindu26",354,"1639"
243,"BetterBot",NA,"1829"
243,"JoelTeh",NA,"1543"
244,"Amadeus",250,"1665"
244,"BetterBot",434,"1866"
245,"BetterBot",NA,"1933"
245,"M.Yadaan",NA,"1647"
246,"BetterBot",NA,"1946"
246,"GeeCee",NA,"1659"
247,"BetterBot",NA,"1694"
247,"rcg",NA,"1701"
248,"BetterBot",NA,"1732"
248,"thellamalord",NA,"1535"
249,"BetterBot",367,"1634"
249,"GPeters",277,"1499"
250,"BetterBot",386,"1693"
250,"lindawolk",355,"1454"
251,"BetterBot",447,"1777"
251,"jawedshamims",400,"1857"
252,"BetterBot",291,"1820"
252,"joelnathanael",375,"1554"
253,"BetterBot",NA,"1718"
253,"PrimordialOne",NA,"1635"
254,"BetterBot",327,"1841"
254,"blitztkr",528,"1958"
255,"BetterBot",NA,"1623"
255,"freebritney",NA,"1686"
256,"BetterBot",383,"1587"
256,"frs",422,"1789"
257,"BetterBot",NA,"1900"
257,"Emeryz",NA,"1778"
258,"BetterBot",383,"1831"
258,"godzilla",358,"1772?"
259,"BetterBot",325,"1565"
259,"EMC",339,"1523"
260,"BetterBot",439,"1823"
260,"joyfuljackets3597",233,"1439?"
261,"Alex1959",NA,"1624"
261,"BetterBot",NA,"1801"
262,"BetterBot",379,"1852"
262,"blitztkr",480,"1953"
263,"BetterBot",630,"1826"
263,"heyitsOlive",298,"1520?"
264,"BetterBot",NA,"1911"
264,"domer8t8",NA,"1621"
265,"BetterBot",398,"1777"
265,"Thejana123",322,"1480"
266,"aster",NA,"1525?"
266,"BetterBot",NA,"1847"
267,"BetterBot",NA,"1895"
267,"Eloquent",NA,"1775"
268,"BetterBot",NA,"1938"
268,"Kavindu",NA,"1897"
269,"BetterBot",417,"1829"
269,"blitztkr",311,"1923"
270,"BetterBot",275,"1780"
270,"Eloquent",478,"1775"
271,"BetterBot",NA,"1679"
271,"condorave",NA,"1772"
272,"BetterBot",364,"1828"
272,"franvi",417,"1684"
273,"Anita",NA,"1534"
273,"BetterBot",NA,"1617"
274,"Anita",NA,"1576"
274,"BetterBot",NA,"1719"
275,"BetterBot",370,"1753"
275,"Vitex",362,"1887"
276,"BetterBot",NA,"1804"
276,"franvi",NA,"1753"
277,"BetterBot",504,"1959"
277,"Kavindu",314,"1923"
278,"BetterBot",381,"1677"
278,"rcg",452,"1684"
279,"BetterBot",NA,"1614"
279,"GPeters",NA,"1494"
280,"BetterBot",423,"1835"
280,"wawayaya",355,"1890"
281,"BetterBot",398,"1746"
281,"jawedshamims",260,"1842"
282,"BetterBot",359,"1638"
282,"Bot_vs_Bot",316,"1558?"
283,"BetterBot",NA,"1694"
283,"rcg",NA,"1701"
284,"BetterBot",522,"1839"
284,"Juniper",256,"1758"
285,"BetterBot",NA,"1897"
285,"LIMZHEYUAN",NA,"1840"
286,"BetterBot",422,"1851"
286,"Super",306,"1831"
287,"BetterBot",NA,"1663"
287,"strataji",NA,"1980"
288,"BetterBot",NA,"1673"
288,"rcg",NA,"1713"
289,"BetterBot",306,"1749"
289,"Torquayfan2303",329,"1507"
290,"BetterBot",282,"1705"
290,"Churrrro",334,"1714"
291,"BetterBot",380,"1688"
291,"gcviebranzjr",453,"1778?"
292,"BetterBot",NA,"1784"
292,"squashy",NA,"1655"
293,"BetterBot",360,"1658"
293,"Churrrro",408,"1652"
294,"BetterBot",303,"1707"
294,"Churrrro",397,"1652"
295,"BetterBot",NA,"1728"
295,"Churrrro",NA,"1675"
296,"BetterBot",320,"1804"
296,"GeeCee",384,"1655"
297,"BetterBot",NA,"1871"
297,"Eloquent",NA,"1775"
298,"BetterBot",402,"1901"
298,"davidavid",299,"1792"
299,"AWFUL",NA,"1992"
299,"BetterBot",NA,"1870"
300,"BetterBot",313,"1665"
300,"rcg",534,"1713"
301,"BetterBot",418,"1891"
301,"earth",278,"1763"
302,"BetterBot",329,"1890"
302,"marvin",389,"1752"
303,"BetterBot",346,"1857"
303,"marvin",418,"1784"
304,"BetterBot",351,"1610"
304,"cabreeze",343,"1464"
305,"Amadeus",317,"1665"
305,"BetterBot",364,"1949"
306,"BetterBot",NA,"1645"
306,"burtmunch",NA,"1460"
307,"Baphead",NA,"1799"
307,"BetterBot",NA,"1789"
308,"BetterBot",NA,"1840"
308,"thyme",NA,"1500?"
309,"BetterBot",454,"1709"
309,"pintis",379,"1426?"
310,"BetterBot",412,"1695"
310,"EMC",391,"1508"
311,"BetterBot",NA,"1688"
311,"deathstar",NA,"1623"
312,"BetterBot",365,"1788"
312,"englishcarnivalsbh",308,"1640"
313,"BetterBot",421,"1573"
313,"gopostal24",348,"1530"
314,"BetterBot",NA,"1851"
314,"Emeryz",NA,"1766"
315,"BetterBot",311,"1631"
315,"freebritney",455,"1722"
316,"BetterBot",363,"1831"
316,"markuz",465,"1930"
317,"BetterBot",395,"1781"
317,"sharpeners",344,"1356?"
318,"BetterBot",314,"1706"
318,"rcg",376,"1713"
319,"BetterBot",NA,"1645"
319,"gppa",NA,"1616"
320,"BetterBot",328,"1687"
320,"Kairos",374,"1684?"
321,"BetterBot",NA,"1896"
321,"tramper",NA,"2102"
322,"BetterBot",NA,"1672"
322,"Churrrro",NA,"1652"
323,"BetterBot",NA,"1796"
323,"IlmanHaziq",NA,"1745"
324,"BetterBot",NA,"1859"
324,"MSHS-21ASHERFOO",NA,"1710"
325,"BetterBot",347,"1789"
325,"RexLui",408,"1918"
326,"BetterBot",NA,"1598"
326,"mizhubbard",NA,"1555"
327,"BetterBot",402,"1554"
327,"EMC",347,"1553"
328,"BetterBot",388,"1618"
328,"deathstar",397,"1628"
329,"BetterBot",363,"1616"
329,"Lydker",345,"1685"
330,"BetterBot",509,"1651"
330,"gppa",252,"1663"
331,"Anita",403,"1544"
331,"BetterBot",396,"1673"
332,"austintsa",514,"2017?"
332,"BetterBot",303,"1826"
333,"BetterBot",NA,"1685"
333,"Churrrro",NA,"1764"
334,"BetterBot",346,"1667"
334,"rcg",477,"1684"
335,"BetterBot",NA,"1865"
335,"Eloquent",NA,"1775"
336,"BetterBot",343,"1926"
336,"tramper",456,"2114"
337,"AWFUL",453,"2019"
337,"BetterBot",321,"1830"
338,"BetterBot",434,"1876"
338,"dezinga",475,"1867"
339,"BetterBot",335,"1635"
339,"FuriousTiles",390,"1797"
340,"BetterBot",NA,"1714"
340,"rcg",NA,"1684"
341,"BetterBot",242,"1629"
341,"freebritney",336,"1724"
342,"BetterBot",NA,"1669"
342,"vince",NA,"1662"
343,"Amadeus",NA,"1665"
343,"BetterBot",NA,"1868"
344,"BetterBot",408,"1751"
344,"Kabashibi",416,"1636"
345,"BetterBot",417,"1840"
345,"ZeMing",384,"1993"
346,"BetterBot",NA,"1850"
346,"marvin",NA,"1752"
347,"BetterBot",378,"1846"
347,"marvin",476,"1761"
348,"BetterBot",373,"1639"
348,"Lydker",431,"1702"
349,"BetterBot",389,"1847"
349,"Kabashibi",295,"1648"
350,"BetterBot",388,"1635"
350,"vince",369,"1669"
351,"BetterBot",343,"1819"
351,"Soybadz01",464,"1872"
352,"BetterBot",463,"1841"
352,"Vinesh",346,"1356"
353,"BetterBot",359,"1714"
353,"rcg",437,"1684"
354,"BetterBot",484,"1759"
354,"JunaidKardame",356,"1722"
355,"BetterBot",NA,"1680"
355,"Churrrro",NA,"1764"
356,"BetterBot",NA,"1764"
356,"Eloquent",NA,"1775"
357,"BetterBot",NA,"1732"
357,"deathstar",NA,"1591"
358,"BetterBot",378,"1686"
358,"Dugusan1",311,"1503"
359,"BetterBot",359,"1911"
359,"Soybadz01",518,"1880"
360,"BetterBot",NA,"1689"
360,"kyjo55555",NA,"1573?"
361,"BetterBot",542,"1805"
361,"JoelTeh",254,"1537"
362,"BetterBot",403,"1845"
362,"marvin",491,"1759"
363,"BetterBot",398,"1592"
363,"GPeters",358,"1514"
364,"BetterBot",NA,"1555"
364,"EMC",NA,"1528"
365,"BetterBot",515,"1848"
365,"tramper",417,"2128"
366,"BetterBot",507,"1712"
366,"deathstar",375,"1606"
367,"BetterBot",294,"1692"
367,"condorave",336,"1745"
368,"BetterBot",431,"1616"
368,"gppa",305,"1631"
369,"BetterBot",415,"1673"
369,"bobcubed",328,"1301?"
370,"BetterBot",330,"1811"
370,"blitztkr",430,"1908"
371,"BetterBot",NA,"1814"
371,"marvin",NA,"1787"
372,"BetterBot",366,"1810"
372,"NoBrain",355,"1419?"
373,"BetterBot",NA,"1890"
373,"Eloquent",NA,"1775"
374,"BetterBot",386,"1615"
374,"freebritney",358,"1727"
375,"BetterBot",NA,"1624"
375,"EMC",NA,"1517"
376,"BetterBot",444,"1680"
376,"Churrrro",332,"1764"
377,"BetterBot",376,"1725"
377,"freebritney",392,"1673"
378,"BetterBot",473,"1726"
378,"Torquayfan2303",381,"1711"
379,"BetterBot",533,"1696"
379,"lindawolk",350,"1492"
380,"BetterBot",365,"1850"
380,"franvi",316,"1692"
381,"BetterBot",NA,"1776"
381,"JunaidKardame",NA,"1587"
382,"BetterBot",406,"1776"
382,"Kabashibi",329,"1601"
383,"BetterBot",348,"1671"
383,"freebritney",375,"1667"
384,"BetterBot",NA,"1884"
384,"marvin",NA,"1758"
385,"BetterBot",337,"1856"
385,"Pramit_06",426,"1745"
386,"BetterBot",339,"1669"
386,"deathstar",337,"1635"
387,"BetterBot",438,"1732"
387,"Churrrro",364,"1671"
388,"BetterBot",451,"1869"
388,"englishcarnivalsbh",239,"1575"
389,"BetterBot",421,"1902"
389,"gluonate",352,"1756"
390,"BetterBot",311,"1655"
390,"freebritney",421,"1683"
391,"BetterBot",NA,"1862"
391,"Super",NA,"1882"
392,"BetterBot",NA,"1884"
392,"NatthanonL",NA,"2026"
393,"BetterBot",436,"1904"
393,"domer8t8",291,"1628"
394,"BetterBot",NA,"1649"
394,"freebritney",NA,"1689"
395,"BetterBot",NA,"1654"
395,"condorave",NA,"1740"
396,"BetterBot",284,"1720"
396,"rcg",427,"1713"
397,"Anita",380,"1549"
397,"BetterBot",450,"1618"
398,"BetterBot",418,"1905"
398,"davidavid",297,"1805"
399,"BetterBot",361,"1635"
399,"EMC",364,"1505"
400,"Aeolian",342,"1439"
400,"BetterBot",374,"1868"
401,"BetterBot",453,"1864"
401,"JoelTeh",221,"1533"
402,"BetterBot",395,"1840"
402,"Starcast",281,"1571"
403,"BetterBot",383,"1841"
403,"markuz",465,"1901"
404,"BetterBot",NA,"1609"
404,"freebritney",NA,"1725"
405,"BetterBot",265,"1815"
405,"Lola",389,"1803"
406,"BetterBot",320,"1903"
406,"MimiH",462,"1806"
407,"BetterBot",325,"1895"
407,"Eloquent",525,"1775"
408,"BetterBot",NA,"1830"
408,"JoelTeh",NA,"1533"
409,"BetterBot",319,"1776"
409,"davidavid",352,"1676"
410,"BetterBot",NA,"1886"
410,"marvin",NA,"1756"
411,"BetterBot",NA,"1641"
411,"rcg",NA,"1713"
412,"BetterBot",321,"1585"
412,"deathstar",413,"1596"
413,"BetterBot",492,"1830"
413,"Sze",379,"1761"
414,"BetterBot",480,"1851"
414,"dezinga",365,"1960"
415,"BetterBot",391,"1628"
415,"EMC",348,"1510"
416,"BetterBot",374,"1728"
416,"Kabashibi",439,"1667"
417,"BetterBot",371,"1773"
417,"Vinesh",339,"1356"
418,"BetterBot",NA,"1635"
418,"peteblank",NA,"1715"
419,"BetterBot",339,"1845"
419,"heyitsOlive",335,"1554"
420,"BetterBot",399,"1897"
420,"Maulanapa",398,"1662"
421,"BetterBot",371,"1679"
421,"bobcubed",377,"1301?"
422,"Baphead",NA,"1909"
422,"BetterBot",NA,"1885"
423,"BetterBot",NA,"1694"
423,"rcg",NA,"1701"
424,"BetterBot",356,"1842"
424,"Eloquent",457,"1775"
425,"BetterBot",480,"1617"
425,"deathstar",314,"1651"
426,"BetterBot",297,"1599"
426,"gopostal24",413,"1525"
427,"BetterBot",359,"1666"
427,"kyjo55555",219,"1573?"
428,"BetterBot",NA,"1786"
428,"PrimordialOne",NA,"1675"
429,"BetterBot",400,"1665"
429,"greenmountain1",382,"1618"
430,"Amadeus",315,"1665"
430,"BetterBot",416,"1866"
431,"BetterBot",718,"1744"
431,"Wowwow",27,"1489"
432,"BetterBot",NA,"1687"
